title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Lucky One",movie,"Drama, Mystery, Romance",2012,tt1327194,6.4,115173,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Smurfs 2",movie,"Adventure, Animation, Comedy",2013,tt2017020,5.3,47144,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
Turbo,movie,"Adventure, Animation, Comedy",2013,tt1860353,6.4,114548,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Campaign",movie,Comedy,2012,tt1790886,6.1,138212,"AR, BO, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE"
"Only God Forgives",movie,"Action, Crime, Drama",2013,tt1602613,5.7,119570,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Nova Zembla",movie,"Drama, History",2011,tt1911607,5.8,4670,NL
"The Apparition",movie,"Horror, Thriller",2012,tt1433822,4.1,20804,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Children Who Chase Lost Voices",movie,"Adventure, Animation, Drama",2011,tt1839494,7.1,17410,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"For Neda",movie,"Biography, Documentary, History",2010,tt1671630,7.8,323,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Catcher: Cat City 2",movie,"Animation, Comedy, Fantasy",2007,tt0826570,5.2,2276,HU
"Indiánské léto",movie,"Comedy, Drama, Romance",1995,tt0113420,7,278,"CZ, SK"
"Saving Pelican 895",movie,"Documentary, Short",2011,tt1868064,7.5,121,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Ender's Game",movie,"Action, Adventure, Sci-Fi",2013,tt1731141,6.6,257572,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Get the Gringo",movie,"Action, Drama, Thriller",2012,tt1567609,6.9,112411,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Daffy Duck's Movie: Fantastic Island",movie,"Animation, Comedy, Family",1983,tt0085390,7,2230,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Jack the Giant Slayer",movie,"Action, Adventure, Fantasy",2013,tt1351685,6.3,148988,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Perfect Guy for My Girlfriend",movie,"Comedy, Romance",2009,tt1346281,4.2,784,PL
"The Ride",movie,"Comedy, Drama, Romance",1994,tt0110202,7.3,1158,"CZ, SK"
"Scooby-Doo! Music of the Vampire",movie,"Adventure, Animation, Comedy",2012,tt2162709,6.3,2530,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Dope Sick Love",movie,Documentary,2005,tt0451041,7.3,1196,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"Citizen USA: A 50 State Road Trip",movie,Documentary,2011,tt2009450,5.5,233,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Koran by Heart",movie,"Documentary, News",2011,tt1766189,7.3,387,"AR, BA, BG, BO, BR, CL, CO, CR, CZ, DK, DO, EC, FI, GT, HN, HR, HU, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, US, UY, VE"
"Taken 2",movie,"Action, Crime, Thriller",2012,tt1397280,6.2,326913,"AD, CZ, ES, PT, SK"
"Gangster Squad",movie,"Action, Crime, Drama",2013,tt1321870,6.7,224540,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Silver Linings Playbook",movie,"Comedy, Drama, Romance",2012,tt1045658,7.7,751083,"CZ, HU, MD, RO, SK"
"After Earth",movie,"Action, Adventure, Sci-Fi",2013,tt1815862,4.8,211355,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"How to Train Your Dragon 2",movie,"Action, Adventure, Animation",2014,tt1646971,7.8,372137,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Uprise,movie,Drama,2008,tt1082144,5.7,113,PT
"Capitães da Areia",movie,Adventure,2011,tt1828148,6.3,1097,BR
"Four Suns",movie,"Comedy, Drama",2012,tt2106292,6.3,342,"CZ, SK"
"Safety Not Guaranteed",movie,"Adventure, Comedy, Drama",2012,tt1862079,6.9,132116,"DK, FI, NO, SE"
"Shadow Dancer",movie,"Drama, Mystery, Thriller",2012,tt1770734,6.2,13125,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Your Sister's Sister",movie,"Comedy, Drama, Romance",2011,tt1742336,6.7,28668,"DK, FI, NO, SE"
"Love Lasts Three Years",movie,"Comedy, Romance",2011,tt1638328,6.1,5113,"CZ, SK"
Play,movie,Drama,2011,tt1376717,7.1,6740,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Doraemon The Movie: Nobita's Great Battle of the Mermaid King",movie,"Adventure, Animation, Comedy",2010,tt1613031,6.5,742,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Alois Nebel",movie,"Animation, Drama",2011,tt1374985,6.6,1633,"CZ, SK"
"Terminator Genisys",movie,"Action, Adventure, Sci-Fi",2015,tt1340138,6.3,296744,"DK, FI, NO, SE"
"Back in the Hood: Gang War 2",movie,Documentary,2004,tt0429630,6.9,86,"DK, FI, NO, SE"
"Trouble with the Curve",movie,"Drama, Romance, Sport",2012,tt2083383,6.8,69573,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"When Strangers Click",movie,Documentary,2011,tt1822369,5.6,187,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"The Terry Fox Story",movie,"Biography, Drama, Sport",1983,tt0086427,6.9,746,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"El paseo",movie,Comedy,2010,tt1815687,3.5,453,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Lucia,movie,Drama,1968,tt0064609,7.1,1228,"AG, BB, BS, HN, NI, TT"
"Journey to the Center of the Earth",movie,"Action, Adventure, Family",2008,tt0373051,5.8,134065,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"J. Edgar",movie,"Biography, Drama, Romance",2011,tt1616195,6.5,134739,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Tweety's High-Flying Adventure",movie,"Adventure, Animation, Comedy",2000,tt0248575,5.7,901,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"This Is 40",movie,"Comedy, Drama, Romance",2012,tt1758830,6.2,153040,"AG, AR, BA, BB, BG, BO, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"The Door",movie,Drama,2012,tt1194577,6.4,2540,"CZ, SK"
"Game Change",movie,"Biography, Drama, History",2012,tt1848902,7.4,23590,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"Insidious: Chapter 2",movie,"Horror, Mystery, Thriller",2013,tt2226417,6.6,192765,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Snows of Kilimanjaro",movie,"Comedy, Drama, Romance",2011,tt1852006,7.2,4138,"DK, FI, NO, SE"
Walkout,movie,Drama,2006,tt0452703,6.7,1598,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
Zarafa,movie,"Adventure, Animation, Family",2012,tt2077908,6.9,1936,"FR, MC"
"Meeting Evil",movie,"Crime, Drama, Mystery",2012,tt1810697,5.3,12780,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Small Apartments",movie,"Comedy, Crime, Drama",2012,tt1272886,6.1,8468,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Goodnight Moon & Other Sleepytime Tales",movie,"Animation, Family, Fantasy",1999,tt0239438,7.8,102,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, US, UY, VE"
"The Bling Ring",movie,"Biography, Crime, Drama",2013,tt2132285,5.6,93353,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, GT, GY, HN, JM, LC, MX, NI, NO, PA, PE, PY, SE, SV, TC, TT, US, UY, VE"
RoboCop,movie,"Action, Crime, Sci-Fi",2014,tt1234721,6.1,242046,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK, US"
"The Man with the Iron Fists",movie,Action,2012,tt1258972,5.4,64568,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Gambit,movie,"Comedy, Crime",2012,tt0404978,5.7,26187,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Witness Protection",movie,"Crime, Drama",1999,tt0191655,6.2,2154,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"Normal the Düsseldorf Ripper",movie,"Crime, Drama, Thriller",2009,tt1342408,5.9,335,"CZ, SK"
"Dumb and Dumber To",movie,Comedy,2014,tt2096672,5.6,147583,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Hunger Games: Catching Fire",movie,"Action, Adventure, Sci-Fi",2013,tt1951264,7.5,734492,"BA, BG, CZ, HR, HU, MD, ME, MK, RO, RS, SI, SK"
"Year of the Devil",movie,"Comedy, Drama, Fantasy",2002,tt0282917,7.3,1159,"CZ, SK"
"The Amazing Spider-Man 2",movie,"Action, Adventure, Sci-Fi",2014,tt1872181,6.6,551356,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PT, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"Two Rabbits",movie,"Action, Crime, Drama",2012,tt1753722,7.3,5541,BR
"Second Best",movie,Drama,1994,tt0111102,6.8,1983,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"God Is the Bigger Elvis",movie,"Biography, Documentary, Short",2012,tt2210633,6.9,625,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Paradise: Love",movie,Drama,2012,tt1403214,7,10341,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Blue-Eyed Butcher",movie,"Biography, Crime, Drama",2012,tt2282719,5.6,1508,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Vendetta,movie,"Drama, History",1999,tt0162735,6.1,1339,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
Erased,movie,"Action, Thriller",2012,tt1645155,6,33033,"BA, BG, CZ, HR, HU, MD, ME, MK, RO, RS, SI, SK"
"The World's End",movie,"Action, Comedy, Sci-Fi",2013,tt1213663,6.9,302667,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"This Is the End",movie,"Comedy, Fantasy",2013,tt1245492,6.6,440139,"BA, BG, CZ, HR, HU, MD, ME, MK, RO, RS, SI, SK"
"Battle of the Year",movie,"Drama, Music",2013,tt1532958,5,9742,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Grown Ups 2",movie,Comedy,2013,tt2191701,5.4,174801,US
"Captain Phillips",movie,"Action, Biography, Crime",2013,tt1535109,7.8,500392,"AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"Evil Dead",movie,Horror,2013,tt1288558,6.5,202770,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
"Identity Thief",movie,"Comedy, Crime, Drama",2013,tt2024432,5.7,142717,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Hangover Part III",movie,"Comedy, Crime",2013,tt1951261,5.8,341962,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
"Cloudy with a Chance of Meatballs 2",movie,"Adventure, Animation, Comedy",2013,tt1985966,6.3,117697,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Beautiful Creatures",movie,"Drama, Fantasy, Romance",2013,tt1559547,6.1,91653,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Canyons",movie,"Drama, Thriller",2013,tt2292959,3.8,12108,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"White Mile",movie,"Drama, Sport, Thriller",1994,tt0111704,5.7,805,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"The Invisible Woman",movie,"Biography, Drama, History",2013,tt1700845,6.1,10600,"AR, BO, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE"
"Hemingway & Gellhorn",movie,"Biography, Drama, Romance",2012,tt0423455,6.3,10626,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"What's in a Name?",movie,"Comedy, Drama",2012,tt2179121,7.3,18837,"FR, MC"
"The Family",movie,"Comedy, Crime, Thriller",2013,tt2404311,6.3,124530,"CZ, SK, US"
"Les papas du dimanche",movie,"Comedy, Drama",2012,tt2102364,5.6,146,"FR, MC"
"The Normal Heart",movie,"Biography, Drama, History",2014,tt1684226,7.9,38254,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Cool Kids Don't Cry",movie,"Drama, Family, Sport",2012,tt1800372,7.4,4135,NL
Paddington,movie,"Adventure, Comedy, Family",2014,tt1109624,7.3,138324,"AD, ES, PT"
"All Is Well",movie,Drama,2011,tt1773377,6.4,51,PT
"One Nation Under Dog",movie,"Documentary, News",2012,tt2140221,7.6,267,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"White House Down",movie,"Action, Drama, Thriller",2013,tt2334879,6.3,240023,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Olympus Has Fallen",movie,"Action, Thriller",2013,tt2302755,6.5,296358,NL
Diana,movie,"Biography, Drama, Romance",2013,tt1758595,5.6,21065,PT
"The Iceman Tapes: Conversations with a Killer",movie,Documentary,1992,tt0874289,7.5,1129,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, UY, VE"
"Why Stop Now?",movie,"Comedy, Drama",2012,tt1853643,5.5,7636,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Parker,movie,"Action, Crime, Thriller",2013,tt1904996,6.2,131232,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Virus,movie,"Action, Thriller",1996,tt0117716,3.1,691,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Big Top Scooby-Doo!",movie,"Adventure, Animation, Comedy",2012,tt2235542,6.7,2278,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Behind the Candelabra",movie,"Biography, Drama, Music",2013,tt1291580,7,45876,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, PA, PE, PY, SV, TC, TT, US, UY, VE"
"Hard Times: Lost on Long Island",movie,Documentary,2012,tt2223810,7.3,221,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Shouting Fire: Stories from the Edge of Free Speech",movie,Documentary,2009,tt1333657,7.4,301,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
Lore,movie,"Drama, Romance, War",2012,tt1996310,7.1,16131,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"About Time",movie,"Comedy, Drama, Fantasy",2013,tt2194499,7.8,400279,"AG, AR, BA, BB, BG, BO, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"The Hobbit: The Battle of the Five Armies",movie,"Adventure, Fantasy",2014,tt2310332,7.4,585593,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK, US"
"Batman: The Dark Knight Returns, Part 1",movie,"Action, Animation, Crime",2012,tt2313197,7.9,64308,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Polski film",movie,Comedy,2012,tt2197242,6.2,184,"CZ, SK"
"Nic proti nicemu",movie,Comedy,2011,tt1937261,6.4,35,"CZ, SK"
"The Confidant",movie,"Comedy, Drama, History",2012,tt2066986,6.3,258,"CZ, SK"
"The Mortal Instruments: City of Bones",movie,"Action, Adventure, Fantasy",2013,tt1538403,5.8,140065,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"DonT Stop",movie,"Drama, Music",2012,tt1934241,6.2,154,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Without Warning: The James Brady Story",movie,Drama,1991,tt0103275,6.3,306,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
Godzilla,movie,"Action, Adventure, Sci-Fi",2014,tt0831387,6.4,448852,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
Angel,movie,Drama,2005,tt0448992,5,322,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"After Lucia",movie,Drama,2012,tt2368749,7.1,7119,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Ernest & Celestine",movie,"Adventure, Animation, Comedy",2012,tt1816518,7.8,22715,"FR, MC"
"Un día en el paraíso",movie,"Comedy, Romance",2003,tt0309817,5.7,242,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Left of the Dial",movie,Documentary,2005,tt0454866,6.8,188,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"Barbie: The Princess & the Popstar",movie,"Animation, Family, Musical",2012,tt2396690,5.9,3099,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Nebraska,movie,Drama,2013,tt1821549,7.7,124997,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Paradise: Faith",movie,Drama,2012,tt2371824,6.7,5319,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"A Month in Thailand",movie,Comedy,2012,tt2186665,5.7,638,"MD, RO"
"The Blue Tiger",movie,"Adventure, Comedy, Family",2012,tt2251519,5.8,142,"CZ, SK"
"The Hunger Games: Mockingjay - Part 1",movie,"Action, Adventure, Sci-Fi",2014,tt1951265,6.6,513871,"BA, BG, CZ, HR, HU, MD, ME, MK, RO, RS, SI, SK"
